route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2975_46238,7778230,164,Sydney Parade DART Station - UCD,,3,,,
2990_40267,7778260,DK07,Monaghan (Opp St Louis Convent School) - Hoey's Lane (DKIT),,3,,,
2991_37732,7778227,930,"Swanlinbar, Swanlinbar - Cavan General Hospital",,3,,,
3001_36302,7778068,290A,"Tralee, Tesco, The Square - Tralee, Tesco, The Square",,3,,,
3001_36303,7778068,290B,"Tralee, Tesco, The Square - Tralee, Tesco, The Square",,3,,,
3015_37967,7778101,191,"Stadalt Cross, Mountain View - Dublin, Marlborough Street",,3,,,
3017_40327,7778265,VI02,"Granard, Mackens Service Station - Cavan Institute",,3,,,
3023_40285,7778363,MB01,"Ballymore, Ballymore Westmeath - Moate, Moate Business School",,3,,,
3024_40325,7778245,UM07,Scout's Den - College,,3,,,
3025_36297,7778046,325,"County Limerick, Ballyshonikin - Charleville, Charleville",,3,,,
3025_36298,7778046,327,"Tankardstown Cemetery - Supervalu, Sarsfield Street",,3,,,
3026_40268,7778268,DK01,"Dunshaughlin (Euromart Shop) - Dundalk, DkIT Dublin Road",,3,,,
3026_40269,7778268,DK02,"Moynalty, Moynalty - Dundalk, DkIT Dublin Road",,3,,,
3026_40270,7778268,DK03,"Market Square Navan - Dundalk, DkIT Dublin Road",,3,,,
3026_40271,7778268,DK04,"Bailieborough, Tesco - Dundalk, DkIT Dublin Road",,3,,,
3029_35241,7778225,741,"Dublin Airport - Swords, Premier Inn",,3,,,
3031_37707,7778084,231,Ardgroom - Parnell Place (Opp Car Park),,3,,,
3035_37724,7778070,842,"Ballymahon, Ballymahon - Merrion Square, Holles Street",,3,,,
3038_40309,7778247,UC05,"The Mall (Waterford House of Crystal) - Bishopstown, CIT Campus",,3,,,
3038_40323,7778247,UM15,"Carrick-on-Suir, Carrick On Suir Greenside - University Campus",,3,,,
3038_40330,7778247,WI05,"Carrigeen Business Park, Cuirt An Rí - Parnell Street (WCFE)",,3,,,
3045_37723,7778083,835,"Tullamore, Tullamore Retail Park - Tullamore, Tullamore Retail Park",,3,,,
3048_36873,7778062,829,Laois Shopping Centre - Tullamore Hospital,,3,,,
3048_36874,7778062,830,"Portlaoise, Kilminchy (Laurel Court) - Tullamore Hospital",,3,,,
3048_36875,7778062,831,Borris in Ossory - Laois Shopping Centre,,3,,,
3048_36876,7778062,832,"Errill, Errill Square - Kilminchy Avenue",,3,,,
3048_36877,7778062,837,"Tullamore (Offaly), Opposite Train Station - Lough Sheever Corporate Park, Longford Road",,3,,,
3048_36878,7778062,838,"Kilkenny, Market Yard - Market Street Mountmellick",,3,,,
3064_41295,7778371,809,Galway City  - Glásan Student Village,,3,,,
3082_36320,7778060,824,Market Street Mountmellick - Dublin (UCD Stillorgan Rd Flyover),,3,,,
3083_40284,7778060,IW08,"Market Street Mountmellick - Carlow, Carlow Institute of Further Education",,3,,,
3089_40266,7778270,DF01,Carlingford (Opp Tourist Office) - Drogheda (Institute of Further Education),,3,,,
3089_40301,7778270,OF01,"Chapel Hill (Louth), Clos na Manach Estate - Hoey's Lane (DKIT)",,3,,,
3092_37743,7778105,AI02,"Casey's Filling Station - Fardrum, Athlone A I T",,3,,,
3093_36932,7778191,961,"Paddy Og's Pub, Crolly - Letterkenny, Dunnes Stores Letterkenny",,3,,,
3093_36933,7778191,963,"Gortlee, Tesco Shopping Centre - Gortlee, Tesco Shopping Centre",,3,,,
3094_40326,7778254,UM08,"Dundrum, Upper Churchtown Road (Notre Dame School) - University Campus",,3,,,
3099_36628,7778056,436,Circular Road Ballina - Main Street,,3,,,
3099_36629,7778056,452,Glenamoy - Glenamoy,,3,,,
3099_36630,7778056,496,Glenamoy - Circular Road Ballina,,3,,,
3099_36631,7778056,497,Glenamoy - Glenamoy,,3,,,
3099_36633,7778056,499,Glenamoy - Circular Road Ballina,,3,,,
3099_46236,7778056,498,Glenamoy - Stephen Garvey Way Castlebar,,3,,,
3102_36215,7778189,881,"Graiguenamanagh, Graiguenamanagh - Kilkenny Castle",,3,,,
3102_36216,7778189,882,"New Ross (The Quay) - Kilkenny, Ormond Road",,3,,,
3108_46283,7778054,991,Killybegs - Letterkenny,,3,,,
3111_37719,7778308,663,"Tallow - Abbeyside (Waterford), Minnies Lough Bar",,3,,,
3113_32198,7778347,DK05,"Cabra (Cavan), Forest Park - Dundalk I.T (Main Gate)",,3,,,
3114_37728,7778231,869,"Parkwest, Park West Station - Greenoge, Greenoge",,3,,,
3118_37716,7778304,437,Tourmakeady Post Office - Heatons Castlebar,,3,,,
3124_37715,7778081,433,The Square Roscommon - Galway Cathedral,,3,,,
3126_40314,7778247,UL18,"Coolagh (Waterford), Maxol Service Station - Carrigeen Business Park, Cuirt An Rí",,3,,,
3135_46286,7778266,VI04,"Cross Keys - Cavan, Breffni College",,3,,,
3146_36257,7778052,965,Meenlaragh Teach Dixon - Letterkenny Library,,3,,,
3147_37730,7778086,886,"Monamolin - Gorey, Rafter Street",,3,,,
3159_40283,7778082,IW01,"Loughboy - Carlow, Institute of Technology Carlow",,3,,,
3159_40329,7778082,WI01,Shandon Park - Institute of Technology Waterford,,3,,,
3160_36546,7778151,428,"Tuam, Bishop Street Cathedral - Eyre Square Galway",,3,,,
3160_45984,7778151,427,Dunmore - Eyre Square Galway,,3,,,
3160_45985,7778151,435,Ballinrobe - Eyre Square Galway,,3,,,
3161_37744,7778102,ATH1,Athlone (Golden Island SC) - Athlone (Golden Island SC),,3,,,
3162_40311,7778262,UL04,Clarecastle (Doab Butchers Main St) - Stables University of Limerick,,3,,,
3163_40123,7778077,951,"Cockhill Road - Letterkenny, Mr. Chippy Chip Shop",,3,,,
3163_40131,7778077,976,"Ballymagan, Saint Mary's Church - Bridgend",,3,,,
3164_37717,7778092,449,"Keane's Tile Shop - Sligo, Ash Lane Sligo",,3,,,
3167_40260,7778230,511,"Rathgar, Dartry Road - Ardilea, Mount Anville School",,3,,,
3168_40273,7778092,GM11,"High Street Drumshanbo - Monivee (Galway City), ATU Galway City",,3,,,
3168_40276,7778092,GM10,"Keane's Tile Shop - Carrick-on-Shannon, Carrick On Shannon Coffee Shop",,3,,,
3168_40295,7778092,NG05,Keane's Tile Shop - Wellpark,,3,,,
3173_37710,7778090,309,"Kilduff - Glentworth, William Street",,3,,,
3174_36931,7778030,593,Ballyneety - Newcastle West,,3,,,
3177_40317,7778246,UL05,"University of Limerick, University Of Limerick - Westport",,3,,,
3179_37738,7778246,968,"Knockcroghery (Mayo), Church of the Holy Rosary - Castlecourt Hotel Westport",,3,,,
3179_37739,7778246,970,"Breaffy House Resort, Breaffy House Resort - Stephen Garvey Way Castlebar",,3,,,
3183_40446,7778048,UM02,"Birr, Birr Square - Maynooth, Straffan Road",,3,,,
3186_37749,7778206,SL11,"Ballina (Dunnes Stores) - Sligo, ATU Sligo",,3,,,
3187_40294,7778206,NG01,"NUIG - Ballina, Ballina Bus Station",,3,,,
3229_40280,7778223,IW02,Curragh (Opp Post Office) - Carlow IT (Opp Main Entrance),,3,,,
3236_40265,7778238,BR01,"Gorey, Main Street - Bray (Wicklow), Bray Institute",,3,,,
3241_40577,7778223,871,"Main Street Urlingford (Post Office) - Kilkenny, Ormond Road",,3,,,
3275_37963,7778036,836,"Dublin, Millennium Spire - Corduff (Fingal), Cruiserath Road",,3,,,
3275_46124,7778036,787,"Ballymun, Travelodge Hotel - Dublin Airport",,3,,,
3275_47272,7778036,870,O'Connell Street Upper - Damastown IBM,,3,,,
3290_36295,7778198,932,Crolly - Tourist Information O'Connell Street,,3,,,
3290_36296,7778198,933,Main Street Moville - Tourist Information O'Connell Street,,3,,,
3302_40264,7778269,BI01,TU Dublin Shuttle Bus,,3,,,
3365_48661,7778093,974,"Glen - Letterkenny, Pearse Road Letterkenny",,3,,,
3420_36440,7778153,980A,"Carrickmacross (Paddy Power) - Trinity College, Northern Ireland Tourist Board",,3,,,
3420_36441,7778153,980B,"Carrickmacross (Paddy Power) - Dublin, Wynn's Hotel",,3,,,
3420_46237,7778153,980,"Wynn's Hotel, Dublin - Main Street, Ballybay",,3,,,
3440_40282,7778044,IW04,"Carlow, Institute of Technology Carlow - Market Street Mountmellick",,3,,,
3440_40286,7778044,UM12,Naas (Post Office) - University Campus,,3,,,
3440_40287,7778044,UM14,Laois Shopping Centre - University Campus,,3,,,
3440_40288,7778044,NG03,"Galway Cathedral - Carlow, Carlow Coach Park",,3,,,
3440_40299,7778044,UM06,Athy (C Bar Leinster Street) - University Campus,,3,,,
3460_50124,7778044,IW06,Abbeyleix - Carlow,,3,,,
3502_36461,7778155,310,"Sarsfield St (Debenhams) - National Technology Park, Plassey PK Rd (Vistakon Ireland)",,3,,,
3502_36463,7778155,726,Laois Shopping Centre - Dublin Airport,,3,,,
3502_36465,7778155,816,Market Square Portarlington - Kildare Village,,3,,,
3502_51295,7778155,600,Cork City - Dublin City,,3,,,
3507_36313,7778040,143,"Bray, Southern Cross Road (Killarney Road) - Sandyford, Blackthorn Avenue at LUAS Station",,3,,,
3507_36314,7778040,144,"Bray, Southern Cross Road (Killarney Road) - Outside Train Station",,3,,,
3507_51298,7778040,984N,"Clerys - Kilcoole, Kilcoole",,3,,,
3511_51301,7778082,IW07,"Gorey, Main Street - Carlow, Carlow College",,3,,,
3516_40344,7778107,315,"Limerick, Limerick Arthur's Quay - Objekt Design",,3,,,
3516_51255,7778107,722,Killarney - Dublin Airport,,3,,,
3551_53599,7778157,964,Galway - Donegal,,3,,,
3579_53763,7778256,SI03,Belmullet - Sligo,,3,,,
3579_53764,7778256,NG11,Belmullet - Galway,,3,,,
3586_36460,7778155,300,"Dunnes, Friars Walk - Dublin, Arlington Hotel",,3,,,
3586_36464,7778155,750,"Dundrum, Outside Luas Station - Dublin Airport",,3,,,
3591_54152,7778364,DY01,Kells - Dunboyne College of Further Education,,3,,,
3592_37748,7778099,KY03,"Killarney, Gleneagle Hotel - Killarney, Gleneagle Hotel",,3,,,
3614_54641,7778259,SL10,"The Gateway, ATU Sligo (N16 Entrance) - Cavan, Cavan Bus Station",,3,,,
3616_54282,7778229,180,Clones - Dublin (Belfield),,3,,,
3677_56123,7778032,945,Rossport - Belmullet,,3,,,
3677_56125,7778032,947,Rossport - Belmullet,,3,,,
3677_56343,7778032,946,Rossport - Belmullet,,3,,,
3686_37974,7778080,250,"Cobh, Post Office - Ballydulea, Bayview Estate",,3,,,
3686_51296,7778080,211,"Cobh, O'Neill Place - Inchera, Hoffman Park",,3,,,
3686_51707,7778080,200,Cobh - Cork City,,3,,,
3686_56643,7778080,210,"Hollyhill (Apple) - Castleview, Little Island",,3,,,
3691_56637,7778228,879,Gorey - Gorey via Ballycanew,,3,,,
3696_56705,7778094,181,Glendalough Visitor Centre - Dawson Street (Pink Shirt Shop),,3,,,
3707_23507,7778036,860,"Temple Bar, Aston Quay - Parkwest, Park West Avenue",,3,,,
3719_37706,7778098,230,"Cork, St. Patricks Quay - Skibbereen (Bridge St Cahalanes)",,3,,,
3719_51299,7778098,229,Bantry - Cork City,,3,,,
3719_53678,7778098,228,Kinsale - Cork City,,3,,,
3723_40324,7778239,UM04,Crescent Quay - College,,3,,,
3731_40662,7778044,627,"Ballygunner Waterford - Waterford, Clock Tower The Quay",,3,,,
3731_40664,7778044,736,Dublin Airport - WIT (Opp Main Entrance),,3,,,
3731_46122,7778044,607,Ardkeen Tesco - Abbey Park,,3,,,
3731_46123,7778044,617,Ballygunner Waterford - Slieverue Ferrybank,,3,,,
3731_47930,7778044,735,Limerick - Dublin Airport,,3,,,
3731_54113,7778044,139,"Corduff (Fingal), TU Dublin Blanchardstown - Naas General Hospital",,3,,,
3731_56710,7778044,874,"Hacketstown, Hacketstown - Carlow, Carlow Coach Park",,3,,,
3731_57534,7778044,717,Clonmel - Army Brks - Dublin Airport,,3,,,
3740_57857,7778309,525,Galway City - Rossaveel,,3,,,
3745_58423,7778008,W1,Clock Tower - Ballybeg,,3,,,
3745_58424,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
3745_58425,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
3745_58426,7778008,W4,Peter Street - Brownes Road,,3,,,
3745_58427,7778008,W5,Hospital - Oakwood,,3,,,
3746_36316,7778038,441,"Raftery's Pub, Corofin, Co. Galway - Tuam, Bishop Street Cathedral",,3,,,
3746_36319,7778038,527,"Kilcurriff - Tourist Office, Seapoint Promenade",,3,,,
3746_46100,7778038,484,Kilcurriff - Kilcurriff,,3,,,
3746_56715,7778038,488,Kilcurriff - Kilcurriff,,3,,,
3756_56711,7778306,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail Pk, stop 101001",,3,,,
3757_36139,7778058,872,Ballyvaldon - Kilmuckridge,,3,,,
3757_36140,7778058,875,Blackwater - Clonard Village Wexford,,3,,,
3760_37746,7778100,KL01,Smithfield - Keelings Retail UC,,3,,,
3760_37747,7778100,KL02,"Briarleas, Mosney Village Car Park - Dunbro, Keelings Retail",,3,,,
3760_46239,7778100,KL03,Santry - Keelings Retail UC,,3,,,
3778_48886,7778014,Green,Parnell - Brides Glen,,0,,,
3778_48887,7778014,Red,The Point - Tallaght,,0,,,
3799_40658,7778193,WX1,"Wexford, Redmond Square - Wexford, Redmond Square",,3,,,
3799_40659,7778193,WX2,"Wexford, Redmond Square - Wexford, Redmond Square",,3,,,
3799_50536,7778193,390,"Wexford, Redmond Square - Kilmore Quay",,3,,,
3799_54900,7778193,740X,"Wexford, Redmond Square - Dublin Airport",,3,,,
3799_56706,7778193,340,"Wexford, Redmond Square - County Waterford, Whitfield Clinic",,3,,,
3799_56707,7778193,376,"Wexford, Redmond Square - Wexford, Redmond Square",,3,,,
3799_56708,7778193,877,"Wexford, Redmond Square - Wexford, Redmond Square",,3,,,
3799_59362,7778193,740,"Wexford, Redmond Square - Dublin Airport",,3,,,
3799_59366,7778193,740A,Gorey (Main St - Whitmore Jewellers) - Dublin Airport,,3,,,
3812_59725,7778352,853,"Tolka Quay, Irish Ferries Terminal - Dublin City South, Georges Quay",,3,,,
3826_51300,7778193,UM11,Gorey - Wicklow - Maynooth,,3,,,
3834_40297,7778255,UM03,Hill Street Dundalk - University Campus,,3,,,
3834_40300,7778255,UM09,Athboy (Opp Darnley Lodge) - University Campus,,3,,,
3834_40321,7778255,UM10,Carrickmacross (Paddy Power) - College,,3,,,
3834_60581,7778255,GM13,Monaghan - Galway,,3,,,
3834_60582,7778255,UM05,Cavan - Maynooth University,,3,,,
3855_36278,7778042,169,Main Street - St Patricks Cathedral Dundalk,,3,,,
3855_36279,7778042,916,St Patricks Cathedral Dundalk - St Patricks Cathedral Dundalk,,3,,,
3855_36281,7778042,918,St Patricks Cathedral Dundalk - Willow Grove,,3,,,
3855_61429,7778042,917,Dundalk - Dundalk,,3,,,
3863_49809,7778348,AI05,Edenderry - Athlone,,3,,,
3879_61908,7778075,920,Galway - Loughrea,,3,,,
3886_61922,7778002,31n,"Dublin City South, D'Olier Street - Howth, Outside Train Station",,3,,,
3886_61923,7778002,84n,"Dublin City South, D'Olier Street - Charlesland Road (Seaborne View Apts)",,3,,,
3886_61924,7778002,70n,Westmoreland Street - Tyrrelstown,,3,,,
3886_61925,7778002,88n,"Dublin City South, Westmoreland Street - Ashbourne, Ashbourne Kelly's",,3,,,
3886_61926,7778002,46n,"Dublin City South, D'Olier Street - Dundrum, Outside Luas Station",,3,,,
3886_61927,7778002,7n,"Dublin City South, D'Olier Street - Dún Laoghaire-Rathdown, Woodbrook Golf Club",,3,,,
3886_61928,7778002,33n,Westmoreland Street - Balbriggan,,3,,,
3886_61929,7778002,69n,"Dublin City South, Westmoreland Street - Saggart, Citywest Golf Club",,3,,,
3886_61930,7778002,42n,"Dublin City South, D'Olier Street - Portmarnock, Strand Road (St.Anne's Estate)",,3,,,
3886_61931,7778002,49n,D'Olier Street - Kilnamanagh,,3,,,
3886_61932,7778002,77n,D'Olier Street - Citywest,,3,,,
3886_61933,7778002,29n,"Dublin City South, D'Olier Street - Baldoyle, Warrenhouse Road",,3,,,
3896_40306,7778244,TT02,"Killerisk, Manor West - Tralee, Tralee Institute Of Technology",,3,,,
3908_51302,7778108,785,Belfast - Dublin,,3,,,
3908_61271,7778108,782,Dublin Airport - Dublin City,,3,,,
3908_61272,7778108,784,"Dublin Airport - Dublin City, Charlotte Way",,3,,,
3912_62548,7778097,975,Cavan Institute - Longford,,3,,,
3916_40490,7778048,844,"Birr (Post Office Emmett Square) - Galway, Merchants Road Galway",,3,,,
3916_40492,7778048,847,"Portumna, Portumna - Dublin, Cathal Brugha Street",,3,,,
3916_53725,7778048,843,"Birr, Birr Square - Tullamore Hospital",,3,,,
3916_62551,7778048,845,Birr - Dublin,,3,,,
3931_59637,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
3931_59638,7778021,63,Kilternan - Dún Laoghaire,,3,,,
3931_59639,7778021,102,Dublin Airport - Sutton DART,,3,,,
3931_59640,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
3931_59641,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
3931_59642,7778021,114,Ticknock - Blackrock,,3,,,
3931_59643,7778021,161,Rockbrook - Dundrum,,3,,,
3931_59644,7778021,184,Newtownmountkennedy - Greystones - Bray,,3,,,
3931_59645,7778021,185,Powerscourt - Bray,,3,,,
3931_59646,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
3931_59647,7778021,236,Blanchardstown - IBM Campus,,3,,,
3931_59648,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
3931_59649,7778021,270,Dunboyne - Blanchardstown,,3,,,
3931_59650,7778021,33A,Dublin Airport - Balbriggan,,3,,,
3931_59651,7778021,33B,Swords - Portrane,,3,,,
3931_59652,7778021,33T,Skerries - Donabate,,3,,,
3931_59653,7778021,45A,Kilmacanogue - Dun Laoghaire,,3,,,
3931_59654,7778021,45B,Kilmacanogue - Dun Laoghaire,,3,,,
3931_59655,7778021,N6,Finglas Village - Naomh Barróg GAA,,3,,,
3931_59656,7778021,S4,Liffey Valley - UCD,,3,,,
3931_59657,7778021,S6,The Square - Blackrock Station,,3,,,
3931_59658,7778021,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
3931_59659,7778021,W2,The Square - Liffey Valley SC,,3,,,
3931_59660,7778021,W4,The Square - Blanchardstown SC,,3,,,
3931_59661,7778021,63A,Kilternan - Dún Laoghaire,,3,,,
3931_59662,7778021,L51,Liffey Valley SC - Adamstown Station,,3,,,
3931_59663,7778021,L52,Blanchardstown SC - Adamstown Station,,3,,,
3931_59664,7778021,L55,Hollyville Lawn - Glenaulin,,3,,,
3931_59665,7778021,102A,Swords - Sutton,,3,,,
3931_59666,7778021,102C,Balgriffin - Sutton,,3,,,
3931_59667,7778021,102P,Swords - Portmarnock,,3,,,
3931_59668,7778021,102T,Swords - Sutton,,3,,,
3931_59669,7778021,185T,Enniskerry - Bray,,3,,,
3931_59670,7778021,220A,DCU (The Helix) - Lady's Well Road,,3,,,
3931_59671,7778021,220T,Collins Avenue West - Finglas Garda Stn,,3,,,
3931_59672,7778021,236A,Blanchardstown - IBM Campus,,3,,,
3931_59673,7778021,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
3931_59674,7778021,270T,Castaheany Estate - Castleknock Community College,,3,,,
3931_59675,7778021,W61,Hazelhatch Station - Maynooth,,3,,,
3931_59676,7778021,W62,The Square - Newcastle,,3,,,
3932_40670,7778024,702,Dublin Airport - Greystones,,3,,,
3932_40674,7778024,706x,Galway - Athlone - Dublin Airport,,3,,,
3932_40675,7778024,706,Galway - Athlone - Dublin Airport,,3,,,
3932_51944,7778024,703,Dublin Airport - Killiney,,3,,,
3932_57536,7778024,700,Dublin Airport - Leopardstown,,3,,,
3932_62744,7778024,704x,Cork - Dublin - Dublin Airport,,3,,,
3936_35218,7778196,901D,Marshes Shopping Centre - The Helix,,3,,,
3936_35219,7778196,901M,"Monasterboice (Monasterboice Inn) - Trinity College, South Frederick's Street",,3,,,
3936_35221,7778196,904,"Marshes Shopping Centre - Belfield, Campus",,3,,,
3936_52181,7778196,912,Grange Rath - Dublin City,,3,,,
3936_56714,7778196,910,Grange Rath - Dublin City,,3,,,
3936_61425,7778196,901,Dundalk - Dublin,,3,,,
3936_62747,7778196,900,Dundalk - Dublin,,3,,,
3941_62982,7778019,4,Monkstown Avenue - Harristown,,3,,,
3941_62983,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
3941_62984,7778019,11,Sandyford Ind Estate - Wadelai Pk,,3,,,
3941_62985,7778019,13,Grange Castle - Harristown,,3,,,
3941_62986,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
3941_62987,7778019,15,Ballycullen Road - Clongriffin,,3,,,
3941_62988,7778019,16,Ballinteer - Dublin Airport,,3,,,
3941_62989,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
3941_62990,7778019,L53,Liffey Valley - Adamstown Stn,,3,,,
3941_62991,7778019,26,Fonthill Rd (Liffey Valley) - Merrion Square,,3,,,
3941_62992,7778019,27,Jobstown - Clare Hall,,3,,,
3941_62993,7778019,27X,Clare Hall - UCD Belfield,,3,,,
3941_62994,7778019,77X,Citywest – UCD Belfield,,3,,,
3941_62995,7778019,32X,UCD Belfield - Malahide,,3,,,
3941_62996,7778019,33,Balbriggan - Lower Abbey St,,3,,,
3941_62997,7778019,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
3941_62998,7778019,33D,Portrane - St Stephens Green,,3,,,
3941_62999,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
3941_63000,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
3941_63001,7778019,38,Damastown - Burlington Road,,3,,,
3941_63002,7778019,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
3941_63003,7778019,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
3941_63004,7778019,70,Dunboyne - Burlington Rd,,3,,,
3941_63005,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
3941_63006,7778019,70D,Dunboyne - DCU,,3,,,
3941_63007,7778019,39X,Ongar - Burlington Road,,3,,,
3941_63008,7778019,39,Ongar - Burlington Rd,,3,,,
3941_63009,7778019,39A,Ongar - UCD Belfield,,3,,,
3941_63010,7778019,40,Charlestown Shopping Centre - Earlsfort Terrace,,3,,,
3941_63011,7778019,40B,Toberburr - Parnel Street,,3,,,
3941_63012,7778019,40E,Broombridge Luas - Tyrrelstown,,3,,,
3941_63013,7778019,40D,Tyrrelstown - Parnell Street,,3,,,
3941_63014,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
3941_63015,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
3941_63016,7778019,41B,Rolestown - Lower Abbey Street,,3,,,
3941_63017,7778019,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
3941_63018,7778019,41X,Swords - UCD Belfield,,3,,,
3941_63019,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
3941_63020,7778019,43,Talbot Street – Swords Business Park,,3,,,
3941_63021,7778019,44D,Dundrum - OCS,,3,,,
3941_63022,7778019,44,Enniskerry - DCU,,3,,,
3941_63023,7778019,44B,Glencullen - Dundrum Luas,,3,,,
3941_63024,7778019,46A,Dun Laoghaire - Phoenix Park,,3,,,
3941_63025,7778019,46E,Mountjoy Square - Blackrock Station,,3,,,
3941_63026,7778019,7,Brides Glen Luas - Mountjoy Square,,3,,,
3941_63027,7778019,7A,Loughlinstown - Mountjoy Sq,,3,,,
3941_63028,7778019,7B,Shankhill - Mountjoy Square,,3,,,
3941_63029,7778019,7D,Dalkey - Mountjoy Square,,3,,,
3941_63030,7778019,7E,Mountjoy Square - Dalkey,,3,,,
3941_63031,7778019,47,Poolbeg Street – Belarmine,,3,,,
3941_63032,7778019,49,Tallaght (The Square) - Pearse St,,3,,,
3941_63033,7778019,51D,Aston Quay – Clondalkin,,3,,,
3941_63034,7778019,52,Intel - Ringsend,,3,,,
3941_63035,7778019,27A,Blunden Drive - Eden Quay,,3,,,
3941_63036,7778019,53,Dublin Ferryport - Talbot St,,3,,,
3941_63037,7778019,54A,Ellensborough - Pearse St,,3,,,
3941_63038,7778019,56A,Tallaght - Ringsend Rd,,3,,,
3941_63039,7778019,60,Forbes Street - Tallaght,,3,,,
3941_63040,7778019,65B,Poolbeg Street – Citywest,,3,,,
3941_63041,7778019,65,Poolbeg Street – Blessington/Ballymore,,3,,,
3941_63042,7778019,69,Rathcoole - Hawkins St,,3,,,
3941_63043,7778019,69X,Rathcoole - Hawkins St,,3,,,
3941_63044,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
3941_63045,7778019,68A,Hawkins Street – Bulfin Road,,3,,,
3941_63046,7778019,74,Dundrum Luas - Eden Quay,,3,,,
3941_63047,7778019,77A,Citywest - Ringsend,,3,,,
3941_63048,7778019,83,Kimmage - Harristown,,3,,,
3941_63049,7778019,83A,Stannaway Ave - Harristown Bus Garage,,3,,,
3941_63050,7778019,84A,Bray Rail Station - Blackrock,,3,,,
3941_63051,7778019,84,Newcastle - Blackrock,,3,,,
3941_63052,7778019,99,Phoenix Park - Phoenix Park,,3,,,
3941_63053,7778019,116,Whitechurch - Parnell Square,,3,,,
3941_63054,7778019,118,Kilternan – Eden Quay,,3,,,
3941_63055,7778019,120,Ashtown Station - Parnell St,,3,,,
3941_63056,7778019,9,Limekiln Avenue - Charlestown,,3,,,
3941_63057,7778019,122,Drimnagh - Ashington,,3,,,
3941_63058,7778019,123,Marino - Walinstown (Kilnamanagh Rd),,3,,,
3941_63059,7778019,130,Talbot Street – Castle Avenue,,3,,,
3941_63060,7778019,140,Palmerstown Park – Ballymun (Ikea),,3,,,
3941_63061,7778019,1,Sandymount - O'Connell Street - Santry,,3,,,
3941_63062,7778019,142,Portmarnock - UCD (Belfield),,3,,,
3941_63063,7778019,84X,Hawkins Street – Newcastle / Kilcoole,,3,,,
3941_63064,7778019,145,Heuston Rail Station - Ballywaltrim,,3,,,
3941_63065,7778019,150,Rossmore - Hawkins Street,,3,,,
3941_63066,7778019,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),,3,,,
3941_63067,7778019,155,Bray - IKEA Ballymun,,3,,,
3941_63068,7778019,P29,Adamstown Stn - Ringsend,,3,,,
3941_63069,7778019,X25,Maynooth - Easton Rd - UCD,,3,,,
3941_63070,7778019,X26,Maynooth – Louisa Bridge – Leeson Street Lower,,3,,,
3941_63071,7778019,X27,Salesian College - Aghards Rd - UCD,,3,,,
3941_63072,7778019,X28,Salesian College - Celbridge Main St - UCD,,3,,,
3941_63073,7778019,X30,Dodsboro - UCD,,3,,,
